kind_code,kind_desc,model,color_desc,D_COLOR,meter_reading,eval_date,initial_price,سعر الشراء,suggested_price,car_age
3631,تويوتا تيــرسـل,1996,عنابي / احمـــر,203,159988,20020820,850,950,1050,6
102,شفر كابرس بروجهــام,1992,اسود / بنـــــي,405,150125,20020820,700,700,995,10
3816,فورد وانيت 2باب,1996,اسود / بنـــــي,405,123125,20020820,1400,1580,1695,6
401,كاديلاك فليت وود,1994,بنفسجي / بيج,2408,258147,20020820,900,900,2195,8
3705,هوندا Accord,1997,اخضر / بيـــــج,504,104880,20020820,1750,1870,2050,5
102,شفر كابرس بروجهــام,1991,ابيض /  ا ز ر ق,2002,189552,20020821,550,750,895,11
3805,فورد جراند ماركيـــز,1998,فضي,2700,61461,20020821,2800,2900,3195,4
4107,نيسان مكسيما,2000,ابيض / بيـــــج,2004,60568,20020821,3000,3030,3495,2
602,GMC سوبربان 25,1991,رمادى / رمــادى,1201,136645,20020822,1500,1705,1895,11
102,شفر كابرس بروجهــام,1993,ابيض /  ا ز ر ق,2002,242977,20020822,1100,1100,1395,9
102,شفر كابرس بروجهــام,1995,ابيض /  ا ز ر ق,2002,266018,20020822,1200,1200,1495,7
3805,فورد جراند ماركيـــز,1996,احمر / بيـــــج,104,140604,20020822,1900,1900,2195,6
3803,فورد كراون فكتوريــا,1993,اخضر / بيـــــج,504,135125,20020822,750,750,995,9
3631,تويوتا تيــرسـل,1998,ابيض / بيـــــج,2004,191782,20020824,900,1220,1295,4
904,دودج بوكس,1995,احمر / بيـــــج,104,113080,20020824,1200,1360,1495,7
3321,ميتسوبيشى  باجيرو,1994,اخضر / بيـــــج,504,306167,20020824,1400,1610,1695,8
3321,ميتسوبيشى  باجيرو,2000,كحلي /  ا ز ر ق,802,77591,20020824,3800,3800,4295,2
3606,تويوتا كريسيدا,1994,بيج / بيــــــج,1504,57639,20020825,1700,1840,1995,8
524,جيب جراند شيروكي,1998,اسود / بنـــــي,405,107125,20020825,2900,3020,3295,4
2001,فولكس جولف,1994,رصاصى / بنــــي,1305,16946,20020825,1100,1150,1395,8
3136,مرسيدس 320,1996,اسود / بنـــــي,405,94918,20020825,5000,5560,5595,6
510,بويك ريجـــــال,1995,ابيض /  ا ز ر ق,2002,113157,20020826,550,690,895,7
511,رود ماستر,1994,عنابي / احمـــر,203,160225,20020826,1500,1665,1895,8
511,رود ماستر,1994,عنابي / احمـــر,203,160225,20020826,0,1620,0,8
4700,لكزس,1995,كحلي /  ا ز ر ق,802,181926,20020826,4700,4930,5195,7
4701,لكزس  جيب,1999,ذهبي / بيـــــج,1404,92264,20020826,10300,10400,10995,3
3129,مرسيدسSEL560,1989,ازرق /  ا ز ر ق,702,84789,20020826,2000,2050,2295,13
3304,ميتسوبيشي  لانسـر,2002,كحلي /  ا ز ر ق,802,6125,20020826,2750,2770,3195,0
1329,BMW 728,1999,ابيض / بيـــــج,2004,91151,20020827,6000,6000,6595,3
904,دودج بوكس,1995,اخضر / بيـــــج,504,155787,20020827,1400,1730,1695,7
